AvgFitness=6.44891e-06 StdDev=4.82415e-07 GenBestFitness=8.51457e-06 GenLowestFitness=5.42294e-06 BestFitness=8.51457e-06
AvgFitness=6.42695e-06 StdDev=3.89632e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.70426e-06 BestFitness=8.51457e-06
AvgFitness=6.46098e-06 StdDev=4.03191e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.79884e-06 BestFitness=8.51457e-06
AvgFitness=6.55461e-06 StdDev=4.34032e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.65624e-06 BestFitness=8.51457e-06
AvgFitness=6.58278e-06 StdDev=4.57161e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.65624e-06 BestFitness=8.51457e-06
AvgFitness=6.65203e-06 StdDev=4.55646e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.756e-06 StdDev=3.87532e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.81193e-06 StdDev=3.60739e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.78212e-06 StdDev=4.18226e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.75143e-06 StdDev=4.18041e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.77301e-06 StdDev=4.42965e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.85923e-06 StdDev=4.22049e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.81563e-06 StdDev=4.56556e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.87014e-06 StdDev=4.48986e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=6.96093e-06 StdDev=4.64817e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=7.01019e-06 StdDev=4.65149e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=7.09743e-06 StdDev=4.01387e-07 GenBestFitness=7.7221e-06 GenLowestFitness=5.86868e-06 BestFitness=8.51457e-06
AvgFitness=7.04909e-06 StdDev=4.38534e-07 GenBestFitness=7.7221e-06 GenLowestFitness=6.15318e-06 BestFitness=8.51457e-06
AvgFitness=7.03639e-06 StdDev=4.89105e-07 GenBestFitness=7.7221e-06 GenLowestFitness=6.15318e-06 BestFitness=8.51457e-06
AvgFitness=7.06035e-06 StdDev=4.72323e-07 GenBestFitness=7.7221e-06 GenLowestFitness=6.15318e-06 BestFitness=8.51457e-06
