AvgFitness=6.39259e-06 StdDev=4.64381e-07 GenBestFitness=7.80408e-06 GenLowestFitness=5.35108e-06 BestFitness=7.80408e-06
AvgFitness=6.48808e-06 StdDev=5.22358e-07 GenBestFitness=8.26629e-06 GenLowestFitness=5.37291e-06 BestFitness=8.26629e-06
AvgFitness=6.58787e-06 StdDev=5.44617e-07 GenBestFitness=8.5318e-06 GenLowestFitness=5.27652e-06 BestFitness=8.5318e-06
AvgFitness=6.66449e-06 StdDev=5.58834e-07 GenBestFitness=8.5318e-06 GenLowestFitness=5.27652e-06 BestFitness=8.5318e-06
AvgFitness=6.7052e-06 StdDev=5.81324e-07 GenBestFitness=8.5318e-06 GenLowestFitness=5.41175e-06 BestFitness=8.5318e-06
AvgFitness=6.76987e-06 StdDev=5.82266e-07 GenBestFitness=8.5318e-06 GenLowestFitness=5.5311e-06 BestFitness=8.5318e-06
AvgFitness=6.81787e-06 StdDev=5.96322e-07 GenBestFitness=9.01459e-06 GenLowestFitness=5.31547e-06 BestFitness=9.01459e-06
AvgFitness=6.86797e-06 StdDev=5.99108e-07 GenBestFitness=9.01459e-06 GenLowestFitness=5.33271e-06 BestFitness=9.01459e-06
AvgFitness=6.88789e-06 StdDev=6.1748e-07 GenBestFitness=8.92694e-06 GenLowestFitness=5.27755e-06 BestFitness=9.01459e-06
AvgFitness=6.90669e-06 StdDev=6.5033e-07 GenBestFitness=8.76304e-06 GenLowestFitness=5.27755e-06 BestFitness=9.01459e-06
AvgFitness=6.9471e-06 StdDev=6.74935e-07 GenBestFitness=9.6795e-06 GenLowestFitness=5.40072e-06 BestFitness=9.6795e-06
AvgFitness=6.97585e-06 StdDev=6.59022e-07 GenBestFitness=9.17913e-06 GenLowestFitness=5.52541e-06 BestFitness=9.6795e-06
AvgFitness=7.02673e-06 StdDev=6.86603e-07 GenBestFitness=9.17913e-06 GenLowestFitness=5.51681e-06 BestFitness=9.6795e-06
AvgFitness=7.053e-06 StdDev=6.79356e-07 GenBestFitness=9.62155e-06 GenLowestFitness=5.52322e-06 BestFitness=9.6795e-06
AvgFitness=7.05026e-06 StdDev=6.59016e-07 GenBestFitness=9.15522e-06 GenLowestFitness=5.33165e-06 BestFitness=9.6795e-06
AvgFitness=7.08378e-06 StdDev=6.86819e-07 GenBestFitness=9.15522e-06 GenLowestFitness=5.49926e-06 BestFitness=9.6795e-06
AvgFitness=7.06302e-06 StdDev=6.86371e-07 GenBestFitness=9.50134e-06 GenLowestFitness=5.43073e-06 BestFitness=9.6795e-06
AvgFitness=7.07066e-06 StdDev=6.90375e-07 GenBestFitness=9.21151e-06 GenLowestFitness=5.36361e-06 BestFitness=9.6795e-06
AvgFitness=7.03989e-06 StdDev=6.98424e-07 GenBestFitness=9.21151e-06 GenLowestFitness=5.50772e-06 BestFitness=9.6795e-06
AvgFitness=7.04572e-06 StdDev=6.90169e-07 GenBestFitness=9.18023e-06 GenLowestFitness=5.61508e-06 BestFitness=9.6795e-06
AvgFitness=7.04424e-06 StdDev=6.76257e-07 GenBestFitness=9.18023e-06 GenLowestFitness=5.47466e-06 BestFitness=9.6795e-06
AvgFitness=7.07483e-06 StdDev=6.79564e-07 GenBestFitness=9.1807e-06 GenLowestFitness=5.59626e-06 BestFitness=9.6795e-06
AvgFitness=7.09103e-06 StdDev=6.78294e-07 GenBestFitness=9.2952e-06 GenLowestFitness=5.25839e-06 BestFitness=9.6795e-06
AvgFitness=7.09399e-06 StdDev=6.92962e-07 GenBestFitness=9.54317e-06 GenLowestFitness=5.38526e-06 BestFitness=9.6795e-06
AvgFitness=7.07079e-06 StdDev=6.73054e-07 GenBestFitness=9.54317e-06 GenLowestFitness=5.61574e-06 BestFitness=9.6795e-06
AvgFitness=7.08399e-06 StdDev=6.96195e-07 GenBestFitness=9.46154e-06 GenLowestFitness=5.42345e-06 BestFitness=9.6795e-06
AvgFitness=7.14024e-06 StdDev=7.16558e-07 GenBestFitness=9.61584e-06 GenLowestFitness=5.58844e-06 BestFitness=9.6795e-06
AvgFitness=7.17277e-06 StdDev=7.16724e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.59035e-06 BestFitness=9.8259e-06
AvgFitness=7.18674e-06 StdDev=7.25751e-07 GenBestFitness=1.00734e-05 GenLowestFitness=5.59499e-06 BestFitness=1.00734e-05
AvgFitness=7.21257e-06 StdDev=7.35459e-07 GenBestFitness=1.02202e-05 GenLowestFitness=5.2888e-06 BestFitness=1.02202e-05
AvgFitness=7.22108e-06 StdDev=7.37268e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.48269e-06 BestFitness=1.02202e-05
AvgFitness=7.26809e-06 StdDev=7.76367e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.54443e-06 BestFitness=1.02202e-05
AvgFitness=7.24414e-06 StdDev=7.35058e-07 GenBestFitness=1.00267e-05 GenLowestFitness=5.47754e-06 BestFitness=1.02202e-05
AvgFitness=7.24375e-06 StdDev=7.55845e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.62887e-06 BestFitness=1.02202e-05
AvgFitness=7.27316e-06 StdDev=7.57685e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.69391e-06 BestFitness=1.02202e-05
AvgFitness=7.2794e-06 StdDev=7.41082e-07 GenBestFitness=9.8259e-06 GenLowestFitness=5.41286e-06 BestFitness=1.02202e-05
AvgFitness=7.3282e-06 StdDev=7.46817e-07 GenBestFitness=9.566e-06 GenLowestFitness=5.67151e-06 BestFitness=1.02202e-05
AvgFitness=7.28792e-06 StdDev=7.39306e-07 GenBestFitness=9.77399e-06 GenLowestFitness=5.70398e-06 BestFitness=1.02202e-05
AvgFitness=7.30389e-06 StdDev=7.59059e-07 GenBestFitness=1.00853e-05 GenLowestFitness=5.41763e-06 BestFitness=1.02202e-05
AvgFitness=7.25533e-06 StdDev=7.65136e-07 GenBestFitness=9.84439e-06 GenLowestFitness=5.41763e-06 BestFitness=1.02202e-05
AvgFitness=7.264e-06 StdDev=7.82914e-07 GenBestFitness=9.93688e-06 GenLowestFitness=5.6784e-06 BestFitness=1.02202e-05
AvgFitness=7.27481e-06 StdDev=8.10743e-07 GenBestFitness=1.03366e-05 GenLowestFitness=5.37039e-06 BestFitness=1.03366e-05
AvgFitness=7.28732e-06 StdDev=8.02955e-07 GenBestFitness=1.01266e-05 GenLowestFitness=5.48127e-06 BestFitness=1.03366e-05
AvgFitness=7.34696e-06 StdDev=8.11888e-07 GenBestFitness=1.05649e-05 GenLowestFitness=5.66806e-06 BestFitness=1.05649e-05
AvgFitness=7.38109e-06 StdDev=8.21483e-07 GenBestFitness=1.03274e-05 GenLowestFitness=5.41308e-06 BestFitness=1.05649e-05
AvgFitness=7.44983e-06 StdDev=8.5241e-07 GenBestFitness=1.05741e-05 GenLowestFitness=5.66182e-06 BestFitness=1.05741e-05
AvgFitness=7.46142e-06 StdDev=8.38991e-07 GenBestFitness=1.05741e-05 GenLowestFitness=5.74466e-06 BestFitness=1.05741e-05
AvgFitness=7.47942e-06 StdDev=8.23235e-07 GenBestFitness=1.04544e-05 GenLowestFitness=5.84763e-06 BestFitness=1.05741e-05
AvgFitness=7.50423e-06 StdDev=7.96971e-07 GenBestFitness=1.07251e-05 GenLowestFitness=5.68059e-06 BestFitness=1.07251e-05
AvgFitness=7.52178e-06 StdDev=8.18677e-07 GenBestFitness=1.07251e-05 GenLowestFitness=5.65215e-06 BestFitness=1.07251e-05
AvgFitness=7.52189e-06 StdDev=8.2989e-07 GenBestFitness=1.19091e-05 GenLowestFitness=5.67963e-06 BestFitness=1.19091e-05
AvgFitness=7.53494e-06 StdDev=8.44586e-07 GenBestFitness=1.02772e-05 GenLowestFitness=5.62867e-06 BestFitness=1.19091e-05
AvgFitness=7.50187e-06 StdDev=8.43732e-07 GenBestFitness=1.03854e-05 GenLowestFitness=5.4507e-06 BestFitness=1.19091e-05
AvgFitness=7.5008e-06 StdDev=8.56119e-07 GenBestFitness=1.01497e-05 GenLowestFitness=5.57378e-06 BestFitness=1.19091e-05
AvgFitness=7.45408e-06 StdDev=8.53914e-07 GenBestFitness=1.02154e-05 GenLowestFitness=5.57378e-06 BestFitness=1.19091e-05
AvgFitness=7.43779e-06 StdDev=8.53488e-07 GenBestFitness=1.00449e-05 GenLowestFitness=5.54252e-06 BestFitness=1.19091e-05
AvgFitness=7.43588e-06 StdDev=8.44602e-07 GenBestFitness=1.03389e-05 GenLowestFitness=5.74637e-06 BestFitness=1.19091e-05
AvgFitness=7.41963e-06 StdDev=8.59917e-07 GenBestFitness=1.03389e-05 GenLowestFitness=5.76909e-06 BestFitness=1.19091e-05
AvgFitness=7.45656e-06 StdDev=8.66995e-07 GenBestFitness=1.02277e-05 GenLowestFitness=5.72132e-06 BestFitness=1.19091e-05
AvgFitness=7.45748e-06 StdDev=8.75072e-07 GenBestFitness=1.09292e-05 GenLowestFitness=5.7438e-06 BestFitness=1.19091e-05
AvgFitness=7.50014e-06 StdDev=8.99965e-07 GenBestFitness=1.09292e-05 GenLowestFitness=5.38515e-06 BestFitness=1.19091e-05
AvgFitness=7.5518e-06 StdDev=9.08052e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.38515e-06 BestFitness=1.19091e-05
AvgFitness=7.544e-06 StdDev=8.70252e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.71906e-06 BestFitness=1.19091e-05
AvgFitness=7.5484e-06 StdDev=8.5247e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.519e-06 BestFitness=1.19091e-05
AvgFitness=7.60319e-06 StdDev=8.61783e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.72674e-06 BestFitness=1.19091e-05
AvgFitness=7.59618e-06 StdDev=8.45731e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.62358e-06 BestFitness=1.19091e-05
AvgFitness=7.59569e-06 StdDev=8.7832e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.74163e-06 BestFitness=1.19091e-05
AvgFitness=7.55368e-06 StdDev=8.52165e-07 GenBestFitness=1.06206e-05 GenLowestFitness=5.76631e-06 BestFitness=1.19091e-05
AvgFitness=7.48267e-06 StdDev=8.45758e-07 GenBestFitness=1.02468e-05 GenLowestFitness=5.68932e-06 BestFitness=1.19091e-05
AvgFitness=7.48958e-06 StdDev=8.67237e-07 GenBestFitness=1.02468e-05 GenLowestFitness=5.73252e-06 BestFitness=1.19091e-05
AvgFitness=7.52033e-06 StdDev=8.76044e-07 GenBestFitness=1.02468e-05 GenLowestFitness=5.42187e-06 BestFitness=1.19091e-05
AvgFitness=7.57754e-06 StdDev=8.54592e-07 GenBestFitness=1.02541e-05 GenLowestFitness=5.42187e-06 BestFitness=1.19091e-05
AvgFitness=7.53236e-06 StdDev=8.51679e-07 GenBestFitness=1.06095e-05 GenLowestFitness=5.42187e-06 BestFitness=1.19091e-05
AvgFitness=7.57474e-06 StdDev=8.80403e-07 GenBestFitness=1.06095e-05 GenLowestFitness=5.53391e-06 BestFitness=1.19091e-05
AvgFitness=7.58321e-06 StdDev=8.76324e-07 GenBestFitness=1.06095e-05 GenLowestFitness=5.58701e-06 BestFitness=1.19091e-05
AvgFitness=7.61646e-06 StdDev=8.99859e-07 GenBestFitness=1.06095e-05 GenLowestFitness=5.77597e-06 BestFitness=1.19091e-05
AvgFitness=7.62166e-06 StdDev=9.09606e-07 GenBestFitness=1.03828e-05 GenLowestFitness=5.70275e-06 BestFitness=1.19091e-05
AvgFitness=7.56699e-06 StdDev=9.03657e-07 GenBestFitness=1.01937e-05 GenLowestFitness=5.52855e-06 BestFitness=1.19091e-05
AvgFitness=7.64153e-06 StdDev=8.96099e-07 GenBestFitness=1.02586e-05 GenLowestFitness=5.51395e-06 BestFitness=1.19091e-05
AvgFitness=7.62033e-06 StdDev=8.86237e-07 GenBestFitness=1.02586e-05 GenLowestFitness=5.51318e-06 BestFitness=1.19091e-05
AvgFitness=7.65533e-06 StdDev=8.7153e-07 GenBestFitness=1.02586e-05 GenLowestFitness=5.62707e-06 BestFitness=1.19091e-05
AvgFitness=7.65885e-06 StdDev=8.56283e-07 GenBestFitness=1.05396e-05 GenLowestFitness=5.76442e-06 BestFitness=1.19091e-05
AvgFitness=7.68581e-06 StdDev=8.76687e-07 GenBestFitness=1.05396e-05 GenLowestFitness=5.68173e-06 BestFitness=1.19091e-05
AvgFitness=7.72431e-06 StdDev=8.88828e-07 GenBestFitness=1.09739e-05 GenLowestFitness=5.60298e-06 BestFitness=1.19091e-05
AvgFitness=7.75115e-06 StdDev=8.78175e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.8353e-06 BestFitness=1.19091e-05
AvgFitness=7.75542e-06 StdDev=9.03648e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.8353e-06 BestFitness=1.19091e-05
AvgFitness=7.72512e-06 StdDev=9.34932e-07 GenBestFitness=1.11163e-05 GenLowestFitness=5.57468e-06 BestFitness=1.19091e-05
AvgFitness=7.73699e-06 StdDev=9.14607e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.57468e-06 BestFitness=1.19091e-05
AvgFitness=7.72485e-06 StdDev=9.40603e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.56422e-06 BestFitness=1.19091e-05
AvgFitness=7.73906e-06 StdDev=9.5958e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.58273e-06 BestFitness=1.19091e-05
AvgFitness=7.71916e-06 StdDev=9.28493e-07 GenBestFitness=1.07369e-05 GenLowestFitness=5.66245e-06 BestFitness=1.19091e-05
AvgFitness=7.68625e-06 StdDev=9.18219e-07 GenBestFitness=1.05757e-05 GenLowestFitness=5.66245e-06 BestFitness=1.19091e-05
AvgFitness=7.68069e-06 StdDev=9.0462e-07 GenBestFitness=1.05757e-05 GenLowestFitness=5.64161e-06 BestFitness=1.19091e-05
AvgFitness=7.64749e-06 StdDev=9.08419e-07 GenBestFitness=1.10519e-05 GenLowestFitness=5.64161e-06 BestFitness=1.19091e-05
AvgFitness=7.66639e-06 StdDev=9.03816e-07 GenBestFitness=1.06723e-05 GenLowestFitness=5.60979e-06 BestFitness=1.19091e-05
AvgFitness=7.66095e-06 StdDev=9.3489e-07 GenBestFitness=1.11666e-05 GenLowestFitness=5.64571e-06 BestFitness=1.19091e-05
AvgFitness=7.67195e-06 StdDev=9.72718e-07 GenBestFitness=1.11666e-05 GenLowestFitness=5.56375e-06 BestFitness=1.19091e-05
AvgFitness=7.67303e-06 StdDev=9.78592e-07 GenBestFitness=1.11666e-05 GenLowestFitness=5.83623e-06 BestFitness=1.19091e-05
AvgFitness=7.74066e-06 StdDev=9.63823e-07 GenBestFitness=1.07921e-05 GenLowestFitness=5.83623e-06 BestFitness=1.19091e-05
AvgFitness=7.76834e-06 StdDev=9.7092e-07 GenBestFitness=1.09078e-05 GenLowestFitness=5.86845e-06 BestFitness=1.19091e-05
AvgFitness=7.79756e-06 StdDev=9.76836e-07 GenBestFitness=1.12228e-05 GenLowestFitness=5.73526e-06 BestFitness=1.19091e-05
AvgFitness=7.77675e-06 StdDev=9.76636e-07 GenBestFitness=1.07694e-05 GenLowestFitness=5.73526e-06 BestFitness=1.19091e-05
AvgFitness=7.78517e-06 StdDev=9.42159e-07 GenBestFitness=1.05419e-05 GenLowestFitness=5.79848e-06 BestFitness=1.19091e-05
AvgFitness=7.75927e-06 StdDev=9.27307e-07 GenBestFitness=1.05419e-05 GenLowestFitness=5.60084e-06 BestFitness=1.19091e-05
AvgFitness=7.75599e-06 StdDev=9.14067e-07 GenBestFitness=1.11875e-05 GenLowestFitness=5.7231e-06 BestFitness=1.19091e-05
AvgFitness=7.71163e-06 StdDev=9.14778e-07 GenBestFitness=1.04588e-05 GenLowestFitness=5.76978e-06 BestFitness=1.19091e-05
AvgFitness=7.75248e-06 StdDev=9.58472e-07 GenBestFitness=1.11784e-05 GenLowestFitness=5.65249e-06 BestFitness=1.19091e-05
AvgFitness=7.80846e-06 StdDev=9.67572e-07 GenBestFitness=1.11784e-05 GenLowestFitness=5.66429e-06 BestFitness=1.19091e-05
AvgFitness=7.84759e-06 StdDev=9.39669e-07 GenBestFitness=1.08285e-05 GenLowestFitness=5.86879e-06 BestFitness=1.19091e-05
AvgFitness=7.84948e-06 StdDev=9.44966e-07 GenBestFitness=1.05472e-05 GenLowestFitness=5.7963e-06 BestFitness=1.19091e-05
AvgFitness=7.8706e-06 StdDev=9.59791e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.67697e-06 BestFitness=1.19091e-05
AvgFitness=7.88736e-06 StdDev=9.49162e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.43124e-06 BestFitness=1.19091e-05
AvgFitness=7.9044e-06 StdDev=9.38617e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.43124e-06 BestFitness=1.19091e-05
AvgFitness=7.94165e-06 StdDev=9.49233e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.41928e-06 BestFitness=1.19091e-05
AvgFitness=7.95418e-06 StdDev=9.44736e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.96767e-06 BestFitness=1.19091e-05
AvgFitness=7.92826e-06 StdDev=9.50778e-07 GenBestFitness=1.10239e-05 GenLowestFitness=5.88159e-06 BestFitness=1.19091e-05
AvgFitness=7.93797e-06 StdDev=9.42659e-07 GenBestFitness=1.10087e-05 GenLowestFitness=5.5284e-06 BestFitness=1.19091e-05
AvgFitness=7.98215e-06 StdDev=9.78884e-07 GenBestFitness=1.14307e-05 GenLowestFitness=5.5284e-06 BestFitness=1.19091e-05
AvgFitness=7.98986e-06 StdDev=9.59772e-07 GenBestFitness=1.14307e-05 GenLowestFitness=5.81098e-06 BestFitness=1.19091e-05
AvgFitness=7.98034e-06 StdDev=9.72358e-07 GenBestFitness=1.15352e-05 GenLowestFitness=5.85974e-06 BestFitness=1.19091e-05
AvgFitness=7.94702e-06 StdDev=9.44837e-07 GenBestFitness=1.18915e-05 GenLowestFitness=5.8911e-06 BestFitness=1.19091e-05
AvgFitness=7.90976e-06 StdDev=9.06091e-07 GenBestFitness=1.18915e-05 GenLowestFitness=5.96481e-06 BestFitness=1.19091e-05
AvgFitness=7.91009e-06 StdDev=9.42179e-07 GenBestFitness=1.18915e-05 GenLowestFitness=5.89895e-06 BestFitness=1.19091e-05
AvgFitness=7.88456e-06 StdDev=9.57442e-07 GenBestFitness=1.18915e-05 GenLowestFitness=5.89027e-06 BestFitness=1.19091e-05
AvgFitness=7.83056e-06 StdDev=9.40922e-07 GenBestFitness=1.18915e-05 GenLowestFitness=5.54912e-06 BestFitness=1.19091e-05
