AvgFitness=6.37981e-06 StdDev=4.57671e-07 GenBestFitness=8.08118e-06 GenLowestFitness=5.22364e-06 BestFitness=8.08118e-06
AvgFitness=6.38649e-06 StdDev=4.46965e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.40155e-06 BestFitness=8.91184e-06
AvgFitness=6.46222e-06 StdDev=4.59733e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.40871e-06 BestFitness=8.91184e-06
AvgFitness=6.48938e-06 StdDev=4.86254e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.40871e-06 BestFitness=8.91184e-06
AvgFitness=6.49542e-06 StdDev=5.11015e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.45833e-06 BestFitness=8.91184e-06
AvgFitness=6.546e-06 StdDev=5.41858e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.45833e-06 BestFitness=8.91184e-06
AvgFitness=6.58513e-06 StdDev=5.65769e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.28531e-06 BestFitness=8.91184e-06
AvgFitness=6.64593e-06 StdDev=5.96867e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.28531e-06 BestFitness=9.20093e-06
AvgFitness=6.69982e-06 StdDev=6.37065e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.28531e-06 BestFitness=9.20093e-06
AvgFitness=6.75578e-06 StdDev=6.55699e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.28531e-06 BestFitness=9.20093e-06
AvgFitness=6.78616e-06 StdDev=6.53668e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.54654e-06 BestFitness=9.20093e-06
AvgFitness=6.83857e-06 StdDev=6.64815e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.54654e-06 BestFitness=9.20093e-06
AvgFitness=6.88427e-06 StdDev=6.64759e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.62794e-06 BestFitness=9.20093e-06
AvgFitness=6.96165e-06 StdDev=7.13608e-07 GenBestFitness=9.20093e-06 GenLowestFitness=5.6308e-06 BestFitness=9.20093e-06
AvgFitness=7.01579e-06 StdDev=7.0832e-07 GenBestFitness=8.9486e-06 GenLowestFitness=5.6308e-06 BestFitness=9.20093e-06
AvgFitness=7.03162e-06 StdDev=6.95358e-07 GenBestFitness=8.9486e-06 GenLowestFitness=5.6308e-06 BestFitness=9.20093e-06
AvgFitness=7.07572e-06 StdDev=6.8189e-07 GenBestFitness=8.91184e-06 GenLowestFitness=5.37133e-06 BestFitness=9.20093e-06
AvgFitness=7.09723e-06 StdDev=6.85851e-07 GenBestFitness=9.15871e-06 GenLowestFitness=5.37133e-06 BestFitness=9.20093e-06
AvgFitness=7.17928e-06 StdDev=7.1755e-07 GenBestFitness=9.15871e-06 GenLowestFitness=5.68474e-06 BestFitness=9.20093e-06
AvgFitness=7.24842e-06 StdDev=7.14832e-07 GenBestFitness=9.15871e-06 GenLowestFitness=5.60786e-06 BestFitness=9.20093e-06
AvgFitness=7.27456e-06 StdDev=7.05231e-07 GenBestFitness=9.15871e-06 GenLowestFitness=5.7702e-06 BestFitness=9.20093e-06
AvgFitness=7.2705e-06 StdDev=6.98094e-07 GenBestFitness=9.26539e-06 GenLowestFitness=5.7702e-06 BestFitness=9.26539e-06
AvgFitness=7.29566e-06 StdDev=6.86697e-07 GenBestFitness=9.33939e-06 GenLowestFitness=5.93543e-06 BestFitness=9.33939e-06
AvgFitness=7.31986e-06 StdDev=6.63498e-07 GenBestFitness=9.33939e-06 GenLowestFitness=5.94214e-06 BestFitness=9.33939e-06
AvgFitness=7.3586e-06 StdDev=6.76145e-07 GenBestFitness=9.33939e-06 GenLowestFitness=5.84565e-06 BestFitness=9.33939e-06
AvgFitness=7.38282e-06 StdDev=6.76325e-07 GenBestFitness=9.23314e-06 GenLowestFitness=5.73771e-06 BestFitness=9.33939e-06
AvgFitness=7.41432e-06 StdDev=6.81427e-07 GenBestFitness=9.561e-06 GenLowestFitness=5.77319e-06 BestFitness=9.561e-06
AvgFitness=7.437e-06 StdDev=6.81439e-07 GenBestFitness=9.34573e-06 GenLowestFitness=6.06707e-06 BestFitness=9.561e-06
AvgFitness=7.44259e-06 StdDev=6.92666e-07 GenBestFitness=9.34573e-06 GenLowestFitness=6.09073e-06 BestFitness=9.561e-06
AvgFitness=7.45948e-06 StdDev=7.023e-07 GenBestFitness=9.37458e-06 GenLowestFitness=6.09302e-06 BestFitness=9.561e-06
AvgFitness=7.5055e-06 StdDev=7.08683e-07 GenBestFitness=9.37458e-06 GenLowestFitness=6.09302e-06 BestFitness=9.561e-06
AvgFitness=7.55368e-06 StdDev=7.26549e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.84093e-06 BestFitness=9.561e-06
AvgFitness=7.59928e-06 StdDev=7.21329e-07 GenBestFitness=9.60477e-06 GenLowestFitness=5.98184e-06 BestFitness=9.60477e-06
AvgFitness=7.57949e-06 StdDev=7.23125e-07 GenBestFitness=9.60477e-06 GenLowestFitness=5.90183e-06 BestFitness=9.60477e-06
AvgFitness=7.60298e-06 StdDev=7.08685e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.95326e-06 BestFitness=9.60477e-06
AvgFitness=7.63681e-06 StdDev=7.17409e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.95326e-06 BestFitness=9.60477e-06
AvgFitness=7.65663e-06 StdDev=7.28831e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.95326e-06 BestFitness=9.60477e-06
AvgFitness=7.67037e-06 StdDev=6.90196e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.95326e-06 BestFitness=9.60477e-06
AvgFitness=7.67624e-06 StdDev=7.01629e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.95326e-06 BestFitness=9.60477e-06
AvgFitness=7.71035e-06 StdDev=6.81072e-07 GenBestFitness=9.52593e-06 GenLowestFitness=5.79337e-06 BestFitness=9.60477e-06
AvgFitness=7.73635e-06 StdDev=6.72478e-07 GenBestFitness=9.52593e-06 GenLowestFitness=6.05567e-06 BestFitness=9.60477e-06
AvgFitness=7.75343e-06 StdDev=6.63249e-07 GenBestFitness=9.52593e-06 GenLowestFitness=6.05567e-06 BestFitness=9.60477e-06
AvgFitness=7.78124e-06 StdDev=6.56894e-07 GenBestFitness=9.73199e-06 GenLowestFitness=6.05567e-06 BestFitness=9.73199e-06
AvgFitness=7.78059e-06 StdDev=6.33541e-07 GenBestFitness=9.71222e-06 GenLowestFitness=6.01648e-06 BestFitness=9.73199e-06
AvgFitness=7.76657e-06 StdDev=6.35662e-07 GenBestFitness=9.71222e-06 GenLowestFitness=6.14561e-06 BestFitness=9.73199e-06
AvgFitness=7.76257e-06 StdDev=6.53054e-07 GenBestFitness=9.71222e-06 GenLowestFitness=6.14561e-06 BestFitness=9.73199e-06
AvgFitness=7.79394e-06 StdDev=6.37588e-07 GenBestFitness=9.71222e-06 GenLowestFitness=6.14561e-06 BestFitness=9.73199e-06
AvgFitness=7.813e-06 StdDev=6.44536e-07 GenBestFitness=9.71222e-06 GenLowestFitness=5.91556e-06 BestFitness=9.73199e-06
AvgFitness=7.80678e-06 StdDev=6.49212e-07 GenBestFitness=9.71222e-06 GenLowestFitness=6.20398e-06 BestFitness=9.73199e-06
AvgFitness=7.81286e-06 StdDev=6.48233e-07 GenBestFitness=9.71222e-06 GenLowestFitness=5.97059e-06 BestFitness=9.73199e-06
AvgFitness=7.83432e-06 StdDev=6.76374e-07 GenBestFitness=9.44556e-06 GenLowestFitness=6.08237e-06 BestFitness=9.73199e-06
AvgFitness=7.82975e-06 StdDev=6.46399e-07 GenBestFitness=9.44556e-06 GenLowestFitness=6.15047e-06 BestFitness=9.73199e-06
AvgFitness=7.84318e-06 StdDev=6.56046e-07 GenBestFitness=9.44556e-06 GenLowestFitness=6.15047e-06 BestFitness=9.73199e-06
AvgFitness=7.83429e-06 StdDev=6.50477e-07 GenBestFitness=9.91769e-06 GenLowestFitness=6.15047e-06 BestFitness=9.91769e-06
AvgFitness=7.82308e-06 StdDev=6.65598e-07 GenBestFitness=9.91769e-06 GenLowestFitness=6.2297e-06 BestFitness=9.91769e-06
AvgFitness=7.81069e-06 StdDev=6.59645e-07 GenBestFitness=9.69447e-06 GenLowestFitness=6.2297e-06 BestFitness=9.91769e-06
AvgFitness=7.82827e-06 StdDev=6.60496e-07 GenBestFitness=9.69447e-06 GenLowestFitness=6.2297e-06 BestFitness=9.91769e-06
AvgFitness=7.79757e-06 StdDev=6.68221e-07 GenBestFitness=9.69447e-06 GenLowestFitness=6.2297e-06 BestFitness=9.91769e-06
AvgFitness=7.81982e-06 StdDev=6.66319e-07 GenBestFitness=9.69447e-06 GenLowestFitness=6.13833e-06 BestFitness=9.91769e-06
AvgFitness=7.79945e-06 StdDev=6.32593e-07 GenBestFitness=9.63102e-06 GenLowestFitness=6.04719e-06 BestFitness=9.91769e-06
AvgFitness=7.78453e-06 StdDev=6.38995e-07 GenBestFitness=9.56477e-06 GenLowestFitness=6.04719e-06 BestFitness=9.91769e-06
AvgFitness=7.78974e-06 StdDev=6.54256e-07 GenBestFitness=9.58127e-06 GenLowestFitness=5.94391e-06 BestFitness=9.91769e-06
AvgFitness=7.78794e-06 StdDev=6.81044e-07 GenBestFitness=9.62313e-06 GenLowestFitness=6.10092e-06 BestFitness=9.91769e-06
AvgFitness=7.8275e-06 StdDev=6.62645e-07 GenBestFitness=9.62313e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.81288e-06 StdDev=6.5744e-07 GenBestFitness=9.62313e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.82022e-06 StdDev=6.51018e-07 GenBestFitness=9.82617e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.81076e-06 StdDev=6.51455e-07 GenBestFitness=9.82617e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.80386e-06 StdDev=6.7141e-07 GenBestFitness=9.82617e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.83998e-06 StdDev=6.46262e-07 GenBestFitness=9.82617e-06 GenLowestFitness=6.05619e-06 BestFitness=9.91769e-06
AvgFitness=7.84325e-06 StdDev=6.54291e-07 GenBestFitness=1.02546e-05 GenLowestFitness=6.19046e-06 BestFitness=1.02546e-05
AvgFitness=7.86688e-06 StdDev=6.59761e-07 GenBestFitness=1.02546e-05 GenLowestFitness=5.86454e-06 BestFitness=1.02546e-05
AvgFitness=7.86817e-06 StdDev=6.68623e-07 GenBestFitness=1.02546e-05 GenLowestFitness=5.80391e-06 BestFitness=1.02546e-05
AvgFitness=7.87603e-06 StdDev=6.86384e-07 GenBestFitness=1.02546e-05 GenLowestFitness=5.6988e-06 BestFitness=1.02546e-05
AvgFitness=7.88154e-06 StdDev=7.11695e-07 GenBestFitness=1.02546e-05 GenLowestFitness=5.80391e-06 BestFitness=1.02546e-05
