AvgFitness=6.35426e-06 StdDev=4.46782e-07
AvgFitness=6.39235e-06 StdDev=4.46171e-07
AvgFitness=6.42046e-06 StdDev=4.63166e-07
AvgFitness=6.42545e-06 StdDev=4.42793e-07
AvgFitness=6.45128e-06 StdDev=4.38361e-07
AvgFitness=6.48967e-06 StdDev=4.63792e-07
AvgFitness=6.52671e-06 StdDev=4.70718e-07
AvgFitness=6.54856e-06 StdDev=5.20715e-07
AvgFitness=6.57649e-06 StdDev=5.31662e-07
AvgFitness=6.62094e-06 StdDev=5.48975e-07
AvgFitness=6.65225e-06 StdDev=5.63412e-07
AvgFitness=6.71136e-06 StdDev=5.98482e-07
AvgFitness=6.73346e-06 StdDev=6.11137e-07
AvgFitness=6.77592e-06 StdDev=6.31019e-07
AvgFitness=6.82916e-06 StdDev=6.37663e-07
AvgFitness=6.88114e-06 StdDev=6.38354e-07
AvgFitness=6.96384e-06 StdDev=6.39348e-07
AvgFitness=6.99884e-06 StdDev=6.43662e-07
AvgFitness=7.00106e-06 StdDev=6.35554e-07
AvgFitness=6.99946e-06 StdDev=6.49951e-07
AvgFitness=7.0397e-06 StdDev=6.54697e-07
AvgFitness=7.0239e-06 StdDev=6.4968e-07
AvgFitness=7.06593e-06 StdDev=6.44869e-07
AvgFitness=7.08271e-06 StdDev=6.26551e-07
AvgFitness=7.1371e-06 StdDev=5.99362e-07
AvgFitness=7.15168e-06 StdDev=6.07838e-07
AvgFitness=7.19167e-06 StdDev=6.13716e-07
AvgFitness=7.20813e-06 StdDev=6.16382e-07
AvgFitness=7.24875e-06 StdDev=6.06414e-07
AvgFitness=7.24856e-06 StdDev=6.44179e-07
AvgFitness=7.29119e-06 StdDev=6.55098e-07
AvgFitness=7.31773e-06 StdDev=6.62848e-07
AvgFitness=7.33804e-06 StdDev=6.85752e-07
AvgFitness=7.33587e-06 StdDev=6.80614e-07
AvgFitness=7.33091e-06 StdDev=6.70465e-07
AvgFitness=7.37268e-06 StdDev=6.89367e-07
AvgFitness=7.37804e-06 StdDev=6.83485e-07
AvgFitness=7.39997e-06 StdDev=6.98558e-07
AvgFitness=7.44457e-06 StdDev=7.22221e-07
AvgFitness=7.48995e-06 StdDev=7.38958e-07
AvgFitness=7.5133e-06 StdDev=7.31777e-07
AvgFitness=7.53022e-06 StdDev=7.04935e-07
AvgFitness=7.57494e-06 StdDev=7.26405e-07
AvgFitness=7.55821e-06 StdDev=7.1241e-07
AvgFitness=7.56845e-06 StdDev=6.96441e-07
AvgFitness=7.5833e-06 StdDev=6.98219e-07
AvgFitness=7.55222e-06 StdDev=7.05878e-07
AvgFitness=7.56656e-06 StdDev=7.12103e-07
AvgFitness=7.59277e-06 StdDev=7.49918e-07
AvgFitness=7.61218e-06 StdDev=7.79256e-07
AvgFitness=7.663e-06 StdDev=8.19421e-07
AvgFitness=7.6993e-06 StdDev=8.44364e-07
AvgFitness=7.72167e-06 StdDev=8.19104e-07
AvgFitness=7.76912e-06 StdDev=8.80771e-07
AvgFitness=7.77781e-06 StdDev=8.90451e-07
AvgFitness=7.80492e-06 StdDev=8.92124e-07
AvgFitness=7.88451e-06 StdDev=9.30138e-07
AvgFitness=7.90615e-06 StdDev=9.47064e-07
AvgFitness=7.97959e-06 StdDev=9.65184e-07
AvgFitness=8.06145e-06 StdDev=1.02437e-06
AvgFitness=8.12729e-06 StdDev=1.046e-06
AvgFitness=8.26009e-06 StdDev=1.08681e-06
AvgFitness=8.36166e-06 StdDev=1.09288e-06
AvgFitness=8.41685e-06 StdDev=1.09219e-06
AvgFitness=8.44015e-06 StdDev=1.08407e-06
AvgFitness=8.484e-06 StdDev=1.08916e-06
AvgFitness=8.53002e-06 StdDev=1.07361e-06
AvgFitness=8.57934e-06 StdDev=1.07011e-06
AvgFitness=8.62415e-06 StdDev=1.08151e-06
AvgFitness=8.69059e-06 StdDev=1.08997e-06
AvgFitness=8.74239e-06 StdDev=1.10103e-06
AvgFitness=8.81245e-06 StdDev=1.0789e-06
AvgFitness=8.9339e-06 StdDev=1.06373e-06
AvgFitness=8.98848e-06 StdDev=1.03539e-06
AvgFitness=9.01293e-06 StdDev=1.02915e-06
AvgFitness=9.05882e-06 StdDev=9.91698e-07
AvgFitness=9.03697e-06 StdDev=9.83383e-07
AvgFitness=9.07198e-06 StdDev=1.01416e-06
AvgFitness=9.11125e-06 StdDev=1.00972e-06
AvgFitness=9.13527e-06 StdDev=1.0022e-06
AvgFitness=9.10973e-06 StdDev=9.86632e-07
AvgFitness=9.13901e-06 StdDev=9.57332e-07
AvgFitness=9.14906e-06 StdDev=9.32745e-07
AvgFitness=9.09953e-06 StdDev=9.27552e-07
AvgFitness=9.05698e-06 StdDev=9.2532e-07
AvgFitness=9.08378e-06 StdDev=9.49942e-07
AvgFitness=9.08752e-06 StdDev=9.60295e-07
AvgFitness=9.11094e-06 StdDev=9.64271e-07
AvgFitness=9.09434e-06 StdDev=9.35596e-07
AvgFitness=9.11296e-06 StdDev=9.31787e-07
AvgFitness=9.13147e-06 StdDev=9.2655e-07
AvgFitness=9.1553e-06 StdDev=9.28015e-07
AvgFitness=9.16299e-06 StdDev=9.32261e-07
AvgFitness=9.16039e-06 StdDev=9.18332e-07
AvgFitness=9.20191e-06 StdDev=8.77906e-07
AvgFitness=9.187e-06 StdDev=8.4536e-07
AvgFitness=9.17393e-06 StdDev=8.07194e-07
AvgFitness=9.15869e-06 StdDev=8.24939e-07
AvgFitness=9.1959e-06 StdDev=8.39471e-07
AvgFitness=9.20893e-06 StdDev=8.29377e-07
AvgFitness=9.22572e-06 StdDev=8.30429e-07
AvgFitness=9.23056e-06 StdDev=8.45709e-07
AvgFitness=9.20087e-06 StdDev=8.53844e-07
AvgFitness=9.16277e-06 StdDev=8.81291e-07
AvgFitness=9.10851e-06 StdDev=9.29097e-07
AvgFitness=9.14034e-06 StdDev=9.33e-07
AvgFitness=9.15186e-06 StdDev=9.49335e-07
AvgFitness=9.163e-06 StdDev=9.26951e-07
AvgFitness=9.19208e-06 StdDev=9.28946e-07
AvgFitness=9.20197e-06 StdDev=9.5742e-07
AvgFitness=9.18835e-06 StdDev=9.61488e-07
AvgFitness=9.18183e-06 StdDev=9.44594e-07
AvgFitness=9.15898e-06 StdDev=9.78731e-07
AvgFitness=9.16683e-06 StdDev=1.02296e-06
AvgFitness=9.16422e-06 StdDev=1.00154e-06
AvgFitness=9.20901e-06 StdDev=1.03199e-06
AvgFitness=9.2783e-06 StdDev=1.02519e-06
AvgFitness=9.28793e-06 StdDev=1.07738e-06
AvgFitness=9.30104e-06 StdDev=1.10342e-06
AvgFitness=9.35995e-06 StdDev=1.11673e-06
AvgFitness=9.37408e-06 StdDev=1.11302e-06
AvgFitness=9.42579e-06 StdDev=1.08144e-06
AvgFitness=9.44459e-06 StdDev=1.08296e-06
AvgFitness=9.44738e-06 StdDev=1.08007e-06
AvgFitness=9.46643e-06 StdDev=1.08691e-06
AvgFitness=9.46223e-06 StdDev=1.0865e-06
