AvgFitness=6.35249e-06 StdDev=4.3297e-07
AvgFitness=6.39004e-06 StdDev=4.34461e-07
AvgFitness=6.42122e-06 StdDev=4.37141e-07
AvgFitness=6.43871e-06 StdDev=4.31197e-07
AvgFitness=6.46732e-06 StdDev=4.37089e-07
AvgFitness=6.51227e-06 StdDev=4.35503e-07
AvgFitness=6.55521e-06 StdDev=4.4359e-07
AvgFitness=6.60282e-06 StdDev=4.35085e-07
AvgFitness=6.63702e-06 StdDev=4.5262e-07
AvgFitness=6.70117e-06 StdDev=4.76721e-07
AvgFitness=6.6883e-06 StdDev=4.79906e-07
AvgFitness=6.71736e-06 StdDev=4.83541e-07
AvgFitness=6.75143e-06 StdDev=4.89563e-07
AvgFitness=6.77738e-06 StdDev=5.0011e-07
AvgFitness=6.81506e-06 StdDev=5.16152e-07
AvgFitness=6.81447e-06 StdDev=5.18185e-07
AvgFitness=6.84462e-06 StdDev=5.07153e-07
AvgFitness=6.86966e-06 StdDev=5.21095e-07
AvgFitness=6.88966e-06 StdDev=5.22883e-07
AvgFitness=6.8857e-06 StdDev=5.50387e-07
AvgFitness=6.92602e-06 StdDev=5.51574e-07
AvgFitness=6.93805e-06 StdDev=5.51448e-07
AvgFitness=6.94719e-06 StdDev=5.682e-07
AvgFitness=6.96207e-06 StdDev=5.92253e-07
AvgFitness=7.00701e-06 StdDev=6.16738e-07
AvgFitness=7.03802e-06 StdDev=6.17375e-07
AvgFitness=7.03346e-06 StdDev=6.4489e-07
AvgFitness=7.01224e-06 StdDev=6.52078e-07
AvgFitness=7.04006e-06 StdDev=6.60894e-07
AvgFitness=7.08986e-06 StdDev=6.6024e-07
AvgFitness=7.11435e-06 StdDev=6.6254e-07
AvgFitness=7.14769e-06 StdDev=6.80807e-07
AvgFitness=7.14895e-06 StdDev=6.81964e-07
AvgFitness=7.18621e-06 StdDev=6.84849e-07
AvgFitness=7.2495e-06 StdDev=7.18078e-07
AvgFitness=7.30937e-06 StdDev=7.1947e-07
AvgFitness=7.34397e-06 StdDev=7.20737e-07
AvgFitness=7.3704e-06 StdDev=7.15291e-07
AvgFitness=7.40542e-06 StdDev=7.43784e-07
AvgFitness=7.43995e-06 StdDev=7.70234e-07
AvgFitness=7.4664e-06 StdDev=8.02883e-07
AvgFitness=7.54356e-06 StdDev=8.07395e-07
AvgFitness=7.57541e-06 StdDev=7.73222e-07
AvgFitness=7.57291e-06 StdDev=7.42719e-07
AvgFitness=7.62202e-06 StdDev=7.56636e-07
AvgFitness=7.64109e-06 StdDev=7.51626e-07
AvgFitness=7.66272e-06 StdDev=7.49183e-07
AvgFitness=7.6756e-06 StdDev=7.43921e-07
AvgFitness=7.67186e-06 StdDev=7.55687e-07
AvgFitness=7.64113e-06 StdDev=7.54265e-07
AvgFitness=7.6316e-06 StdDev=7.71632e-07
AvgFitness=7.65615e-06 StdDev=7.71534e-07
AvgFitness=7.70313e-06 StdDev=7.8609e-07
AvgFitness=7.72081e-06 StdDev=7.57316e-07
AvgFitness=7.7763e-06 StdDev=7.65275e-07
AvgFitness=7.79683e-06 StdDev=7.70519e-07
AvgFitness=7.82965e-06 StdDev=7.84234e-07
